"품목별(1)","품목별(2)",품목별(3),시점,수출액 (천달러),수입액 (천달러)
"비식용원재료(연료제외)","원피 및 모피",소계,2025.11,7,4278
"비식용원재료(연료제외)","원피 및 모피",원피(모피제외),2025.09,36,4602
"비식용원재료(연료제외)","원피 및 모피",원피(모피제외),2025.10,63,4353
"비식용원재료(연료제외)","원피 및 모피",원피(모피제외),2025.11,7,4278
"비식용원재료(연료제외)","원피 및 모피",생모피,2025.10,-,102
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",소계,2025.09,288,76925
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",소계,2025.10,219,79367
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",소계,2025.11,285,79169
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",기름용씨및 식물성기름 추출용의 것,2025.09,145,66853
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",기름용씨및 식물성기름 추출용의 것,2025.10,130,67980
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",기름용씨및 식물성기름 추출용의 것,2025.11,95,61501
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",기타 기름용씨 및 기름함유 열매,2025.09,143,10073
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",기타 기름용씨 및 기름함유 열매,2025.10,89,11387
"비식용원재료(연료제외)","기름용씨 및 기름함유 열매",기타 기름용씨 및 기름함유 열매,2025.11,190,17668
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",소계,2025.09,260405,69687
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",소계,2025.10,225349,65520
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",소계,2025.11,231314,69131
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",천연고무발라타.구타페으카.가이율.치클 및 이와 유사한 천연검,2025.09,5404,39230
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",천연고무발라타.구타페으카.가이율.치클 및 이와 유사한 천연검,2025.10,2010,39360
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",천연고무발라타.구타페으카.가이율.치클 및 이와 유사한 천연검,2025.11,4340,44400
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",합성고무재생고무,2025.09,255001,30457
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",합성고무재생고무,2025.10,223339,26160
"비식용원재료(연료제외)","생고무(합성 및 재생고무 포함)",합성고무재생고무,2025.11,226974,24731
"비식용원재료(연료제외)","콜크 및 나무",소계,2025.09,604,133977
"비식용원재료(연료제외)","콜크 및 나무",소계,2025.10,454,113088
"비식용원재료(연료제외)","콜크 및 나무",소계,2025.11,226,107820
"비식용원재료(연료제외)","콜크 및 나무",천연콜크및 천연콜크찌꺼기,2025.09,34,105
"비식용원재료(연료제외)","콜크 및 나무",천연콜크및 천연콜크찌꺼기,2025.10,18,157
"비식용원재료(연료제외)","콜크 및 나무",천연콜크및 천연콜크찌꺼기,2025.11,11,276
